Florică Ică Calotă,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Gheorghe-Mirel Taloș,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Grațiela Leocadia Gavrilescu,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Ion Cupă,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Ovidiu Ioan Silaghi,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Sorin Teju,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Steluța-Gustica Cătăniciu,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Viorel Palașcă,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Cristian-George Sefer,Grupul parlamentar al Partidului Social Democrat
Florin Gheorghe,Grupul parlamentar al Partidului Social Democrat
Ovidiu Alexandru Raețchi,Grupul parlamentar al Partidului Național Liberal
Mihai-Bogdan Diaconu,Deputați neafiliați
Dan Bordeianu,Grupul parlamentar al Partidului Social Democrat
Viorel-Ionel Blăjuț,Grupul parlamentar național democrat
Maria Dragomir,Deputați neafiliați
Valerian Vreme,Grupul parlamentar al Partidului Social Democrat
Radu Stroe,Grupul parlamentar al Partidului Social Democrat
Adriana Diana Tușa,Grupul parlamentar al Partidului Național Liberal
Alexandri Nicolae,Grupul parlamentar al Partidului Național Liberal
Alexandru Nazare,Grupul parlamentar al Partidului Național Liberal
Alin Augustin Florin Popoviciu,Grupul parlamentar al Partidului Național Liberal
Aurelian Mihai,Grupul parlamentar al Partidului Național Liberal
Cătălin-Florin Teodorescu,Grupul parlamentar al Partidului Național Liberal
Cezar-Florin Preda,Grupul parlamentar al Partidului Național Liberal
Claudia Boghicevici,Grupul parlamentar al Partidului Național Liberal
Constantin Dascălu,Grupul parlamentar al Partidului Național Liberal
Cornel-Mircea Sămărtinean,Grupul parlamentar al Partidului Național Liberal
Costică Canacheu,Grupul parlamentar al Partidului Național Liberal
Cristian-Constantin Roman,Grupul parlamentar al Partidului Național Liberal
Dan-Cristian Popescu,Grupul parlamentar al Partidului Național Liberal
Dragoș-Ionel Gunia,Grupul parlamentar al Partidului Național Liberal
Eusebiu-Manea Pistru-Popa,Grupul parlamentar al Partidului Național Liberal
Florentin Gust Băloșin,Deputați neafiliați
George Ionescu,Grupul parlamentar al Partidului Național Liberal
Gheorghe Ialomițianu,Grupul parlamentar al Partidului Național Liberal
Gheorghe Udriște,Grupul parlamentar al Partidului Național Liberal
Ioan Balan,Grupul parlamentar al Partidului Național Liberal
Ioan Oltean,Grupul parlamentar al Partidului Național Liberal
Ion Șcheau,Grupul parlamentar al Partidului Național Liberal
Ionaș-Florin Urcan,Grupul parlamentar al Partidului Național Liberal
Iulian Vladu,Grupul parlamentar al Partidului Național Liberal
Liviu Laza-Matiuța,Grupul parlamentar al Partidului Național Liberal
Lucian Militaru,Grupul parlamentar al Partidului Național Liberal
Lucian Nicolae Bode,Grupul parlamentar al Partidului Național Liberal
Maria-Andreea Paul,Grupul parlamentar al Partidului Național Liberal
Mircea Lubanovici,Grupul parlamentar al Partidului Național Liberal
Mircea Man,Grupul parlamentar al Partidului Național Liberal
Mircea-Nicu Toader,Grupul parlamentar al Partidului Național Liberal
Niculina Mocioi,Grupul parlamentar al Partidului Național Liberal
Ovidiu-Ioan Dumitru,Grupul parlamentar al Partidului Național Liberal
Petre Petrescu,Deputați neafiliați
Raluca Turcan,Grupul parlamentar al Partidului Național Liberal
Roberta Alma Anastase,Grupul parlamentar al Partidului Național Liberal
Sanda-Maria Ardeleanu,Grupul parlamentar al Partidului Național Liberal
Theodor Paleologu,Grupul parlamentar al Partidului Național Liberal
Tinel Gheorghe,Grupul parlamentar al Partidului Național Liberal
Valeria-Diana Schelean-Șomfelean,Grupul parlamentar al Partidului Național Liberal
Vasile Gudu,Grupul parlamentar al Partidului Național Liberal
Vasile Iliuță,Grupul parlamentar al Partidului Național Liberal
Camelia-Margareta Bogdănici,Grupul parlamentar al Partidului Social Democrat
Florin Mihail Secară,Grupul parlamentar al Partidului Național Liberal
Mihai Tararache,Grupul parlamentar al Partidului Național Liberal
Marin Anton,Grupul parlamentar al Partidului Social Democrat
Ion Pârgaru,Grupul parlamentar al Partidului Social Democrat
Romeo Rădulescu,Deputați neafiliați
Andrei-Răzvan Condurățeanu,Deputați neafiliați
Florian Daniel Geantă,Grupul parlamentar al Partidului Social Democrat
Răzvan Rotaru,Grupul parlamentar național democrat
Tudor Ciuhodaru,Grupul parlamentar al Partidului Social Democrat
Dumitru Niculescu,Grupul parlamentar al Partidului Social Democrat
Adrian Gurzău,Deputați neafiliați
Clement Negruț,Deputați neafiliați
Eugen Tomac,Deputați neafiliați
Petru Movilă,Deputați neafiliați
Gheorghe Roman,Grupul parlamentar al Partidului Național Liberal
Radu Mihai Popa,Grupul parlamentar național democrat
Marian Avram,Grupul parlamentar al Partidului Național Liberal
Virgil Guran,Grupul parlamentar al Partidului Național Liberal
Valentin Blănariu,Grupul parlamentar al Partidului Social Democrat
Paul Dumbrăvanu,Grupul parlamentar al Partidului Național Liberal
Liliana Mincă,Grupul parlamentar al Partidului Social Democrat
Ștefan-Petru Dalca,Grupul parlamentar al Partidului Social Democrat
Răzvan-Ionuț Tănase,Grupul parlamentar național democrat
Florian Nicolae,Grupul parlamentar al Partidului Național Liberal
Liliana Ciobanu,Grupul parlamentar național democrat
Dumitru Chiriță,Grupul parlamentar al Partidului Social Democrat
Scarlat Iriza,Grupul parlamentar al Partidului Social Democrat
Cornel-George Comșa,Grupul parlamentar național democrat
Cezar Cioată,Deputați neafiliați
